x,y,z,intensity,t,reflectivity,ring,ambient,range
-4.970531,3.6240635,2.2058306,255.0,6152520,15,35,6525,6524
-4.919371,3.6332312,2.1931522,546.0,6205200,32,35,7220,6486
-4.8682866,3.6419082,2.1804738,703.0,6252600,43,35,6680,6448
-4.8398347,3.6671603,2.1778045,780.0,6304280,48,35,4488,6440
-4.817991,3.6973612,2.1781383,745.0,6353200,44,35,3034,6441
-4.8004265,3.7309003,2.1804738,717.0,6398840,42,35,2418,6448
-4.7915254,3.7713535,2.1868129,733.0,6445200,43,35,2170,6467
-4.785259,3.814186,2.1944866,721.0,6495480,42,35,2059,6490
-4.781582,3.8594494,2.203495,711.0,6546200,41,35,1811,6517
-4.77972,3.906599,2.2135043,677.0,6593600,40,35,1817,6547
-4.7752786,3.9520686,2.2225127,684.0,6645560,41,35,1592,6574
-4.76829,3.9958153,2.23052,736.0,6693640,44,35,1535,6598
-4.760224,4.039015,2.2381938,638.0,6741680,37,35,1537,6621
-4.756815,4.086562,2.248203,626.0,6789960,36,35,1409,6651
-4.767235,4.146584,2.2648852,560.0,6841800,32,35,1358,6701
-4.7551517,4.187586,2.2712245,490.0,6889520,28,35,1280,6720
-4.754009,4.238626,2.282902,367.0,6938840,20,35,1172,6755
-4.7405148,4.279078,2.2889075,181.0,6985720,9,35,1164,6773
-4.7817097,4.3697286,2.3212707,80.0,7033720,4,35,1103,6870
-4.841355,4.4789567,2.362976,21.0,7082960,1,35,1272,6995
-4.831681,4.525322,2.3716507,44.0,7132480,2,35,1126,7021
-4.810668,4.5613656,2.3749871,67.0,7184200,4,35,1277,7031
-4.7859917,4.5940595,2.3766553,163.0,7228440,9,35,1501,7036
-4.832801,4.6962175,2.4136896,61.0,7281712,3,35,1483,7147
20.094976,6.830862,7.5404377,19.0,23540216,10,35,1969,22513
24.950222,7.303259,9.229669,24.0,23882816,23,35,3817,27576
-5.2988625,3.6062124,2.2060952,78.0,3515056,2,36,4624,6768
-5.2571564,3.6252072,2.198055,388.0,3567536,11,36,7745,6743
-5.155677,3.602031,2.1652515,557.0,3612336,17,36,7832,6641
-5.094853,3.6062205,2.149171,671.0,3664576,20,36,7169,6591
-5.0410953,3.6147707,2.1359854,673.0,3714736,20,36,6839,6550
-4.98666,3.622241,2.122478,689.0,3763136,20,36,8564,6508
-4.9269876,3.6252484,2.1067193,706.0,3810616,21,36,8020,6459
-4.840909,3.607839,2.0797045,931.0,3860776,30,36,8521,6375
-4.8035736,3.6260548,2.0732725,1007.0,3907296,33,36,7847,6355
-4.7699566,3.6468265,2.0684483,1213.0,3954896,42,36,5082,6340
-4.7527285,3.680087,2.0706997,1176.0,4003616,39,36,2528,6347
-4.7345266,3.712689,2.0726292,1092.0,4054296,35,36,1490,6353
-4.805036,3.8159275,2.1131513,53.0,4104176,1,36,403,6479
-4.718839,4.0395,2.1388798,9.0,4394696,1,36,338,6559
-4.6753144,4.1027284,2.1417742,24.0,4495096,1,36,452,6568
-4.6776433,4.1558833,2.154317,621.0,4543776,17,36,822,6607
-4.6745696,4.2047844,2.1646082,1242.0,4594136,44,36,1386,6639
-4.6752687,4.257632,2.176829,1074.0,4640616,36,36,1329,6677
-4.66645,4.302295,2.1848693,1027.0,4690048,33,36,1449,6702
-4.664868,4.354122,2.1964471,993.0,4737528,33,36,1282,6738
-4.6683273,4.411297,2.2105978,903.0,4785888,29,36,1233,6782
-4.6726274,4.4699864,2.2253914,945.0,4835688,31,36,1330,6828
-4.669584,4.5223026,2.2369692,905.0,4882728,29,36,1406,6864
-4.6964803,4.604598,2.2630193,713.0,4934248,22,36,1433,6945
-4.6936603,4.658691,2.2752402,793.0,4980968,25,36,1361,6983
-4.7090435,4.7317257,2.296466,753.0,5033808,24,36,1288,7049
-4.704467,4.785529,2.3083656,759.0,5078528,24,36,1242,7086
-4.7218204,4.8625636,2.3311994,886.0,5129488,30,36,1206,7157
